Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Parasite.F.L_A_Ash.Ambition.M.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Obscene.F.L_A_Ash.Machinery.M.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Medicine.F.L_A_Ash.Brochure.M.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Tennessee.F.L_A_Ash.Official.M.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Penninsula.F.L_A_Ash.Crucial.M.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Hallucinate.F.L_A_Ash.Pediatrician.M.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Arkansas.F.L_A_Ash.Flourishing.M.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Compensate.F.L_A_Ash.Reassure.M.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Dinosaur.F.L_A_Ash.Graduation.M.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Shifted,Male,Right,Female,Left,1,Critical_04.NAAs.Rehearsal.F.L_A_Ash.Vacation.M.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Initial.F.L_B_S.Pregnancy.M.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Beneficial.F.L_B_S.Democracy.M.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Negotiate.F.L_B_S.Embassy.M.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Commercial.F.L_B_S.Legacy.M.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Parachute.F.L_B_S.Reconcile.M.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Efficient.F.L_B_S.Personal.M.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Publisher.F.L_B_S.Eraser.M.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Glacier.F.L_B_S.Episode.M.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Refreshing.F.L_B_S.Literacy.M.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Unshifted,Male,Right,Female,Left,1,Critical_04.A_Sh.Impatient.F.L_B_S.Coliseum.M.R.wav
